1 Юдина Агафья
2 Кошелева Раиса
3 Чеснокова Ирина
4 Костина Фёкла
5 Кузнецова Зинаида
6 Сальникова Людмила
7 Ерофеева Анфиса
8 Аникина Гликерия
9 Павлова Пинна
10 Ракова Иоанна
11 Грибкова Лидия
12 Корнева Ольга
13 Коваль Сусанна
14 Новодворская Анжела
15 Касьянова Ия
16 Румянцева Вероника
17 Шестакова Урсула
18 Коваль Яна
19 Миронова Октябрина
20 Рожкова Иоанна
21 Уварова Каролина
22 Пугачёва Кира
23 Лазарева Епистима
24 Никонова Зинаида
25 Гущина Алина
26 Чижова Каролина
27 Федосова Тамара
28 Глебова Павлина
29 Свешникова Лилия
30 Павловская Агриппина
31 Горбунова Мария
32 Артамонова Гликерия
33 Петровская Глафира
34 Клюева Надежда
35 Жданова Юлия
36 Пекарева Евфросиния
37 Логинова Тамара
38 Лебедева Иоанна
39 Скворцова Агафья
40 Сомова Алиса
41 Павловская Алевтина
42 Голованова Агафья
43 Светличная Аза
44 Родионова Анастасия
45 Вишневская Раиса
46 Анохина Милица
47 Барсукова Павлина
48 Исакова Надежда
49 Овсянникова Виктория
50 Горбань Аза
51 Елизарова Олимпиада
52 Литвинова Ангелина
53 Масленникова Лада
54 Навальная Таисия
55 Дорофеева Серафима
56 Зюганова Глафира
57 Акимова Серафима
58 Шевцова Феодора
59 Ракова Инесса
60 Широкова Лилия
61 Клюева Валентина
62 Озерова Вероника
63 Голикова Ульяна
64 Малышева Ольга
65 Ерёмина Лада
66 Зубова Валерия
67 Олейникова Кира
68 Архипова Александра
69 Евдокимова Дана
70 Вешнякова Ангелина
71 Новикова Лилия
72 Рыжова Агафья
73 Евсеева Елизавета
74 Шульгина Полина
75 Демьянова Евдокия
76 Медейко Инна
77 Ермилова Оксана
78 Звягинцева Епистима
79 Калачёва Тамара
80 Ковалёва Марина
81 Горбань Серафима
82 Жданова Евфросиния
83 Максимова Анжела
84 Жданова Дарья
85 Макарова Клавдия
86 Розанова Алиса
87 Парамонова Алина
88 Сидорова Марфа
89 Рябинина Алина
90 Гуляева Фаина
91 Сафонова София
92 Булатова Дарья
93 Постникова Глафира
94 Коваль Маргарита
95 Терентьева Людмила
96 Астафьева Вероника
97 Горлова Нина
98 Золотова Евдокия
99 Селезнёва Инесса
100 Булатова Улита
